Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2014,5,FALSE,3000,12.9769
2014,5,FALSE,5000,13.0252
2014,6,TRUE,50,5.563
2014,6,TRUE,70,7.0618
2014,6,TRUE,100,8.5446
2014,6,FALSE,200,10.6053
2014,6,FALSE,300,10.9608
2014,6,FALSE,400,11.317
2014,6,FALSE,500,11.964
2014,6,FALSE,600,11.9547
2014,6,FALSE,700,11.9552
2014,6,FALSE,800,11.9618
2014,6,FALSE,900,11.9669
2014,6,FALSE,1000,11.971
2014,6,FALSE,1500,12.0167
2014,6,FALSE,3000,12.1374
2014,6,FALSE,5000,12.1856
2014,7,TRUE,50,5.5743
2014,7,TRUE,70,7.0827
2014,7,TRUE,100,8.5757
2014,7,FALSE,200,10.6322
2014,7,FALSE,300,10.9897
2014,7,FALSE,400,11.3469
2014,7,FALSE,500,11.9945
2014,7,FALSE,600,11.9855
2014,7,FALSE,700,11.9863
2014,7,FALSE,800,11.9931
2014,7,FALSE,900,11.9984
2014,7,FALSE,1000,12.0026
2014,7,FALSE,1500,12.0487
2014,7,FALSE,3000,12.1698
2014,7,FALSE,5000,12.2182
2014,8,TRUE,50,5.7265
2014,8,TRUE,70,7.2716
2014,8,TRUE,100,8.8014
2014,8,FALSE,200,10.9391
2014,8,FALSE,300,11.2966
2014,8,FALSE,400,11.6537
2014,8,FALSE,500,12.3014
2014,8,FALSE,600,12.2924
2014,8,FALSE,700,12.2932
2014,8,FALSE,800,12.3
2014,8,FALSE,900,12.3053
2014,8,FALSE,1000,12.3095
2014,8,FALSE,1500,12.3556
2014,8,FALSE,3000,12.4766
2014,8,FALSE,5000,12.5251
2014,9,TRUE,50,5.4292
2014,9,TRUE,70,6.8887
2014,9,TRUE,100,8.3329
2014,9,FALSE,200,10.3616
2014,9,FALSE,300,10.7191
2014,9,FALSE,400,11.0763
2014,9,FALSE,500,11.7239
